cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2019,year_2020,year_2021,year_2022,year_2023,project_total,start_year,end_year
2018,16,Aviation,Rehabilitate Taxiway C Phase 2,U_W289,F_A477,Citywide,,0,0,0,0,3966000,13553500,0,0,17519500,2020,2021
2018,16,Aviation,Love Field Signage,U_8709,F_0131,Citywide,,325613,325613,0,0,0,0,0,0,325613,,
2018,16,Aviation,ARFF Vehicle,U_9832,F_F310,Citywide,,1000000,876756,123244,0,0,0,0,0,1000000,,
2018,16,Aviation,Pavement Condition Analys,U_9851,F_0131,Citywide,,1388533,1400102,11568,0,0,0,0,0,1388533,,
2018,16,Aviation,Security [Perimeter Control Fence Cable] Enhancement,U_P746,F_0131,Citywide,,1999712,657851,1341861,0,0,0,0,0,1999712,,
2018,16,Aviation,Police Executive Hanger Airport and Apron at Dallas,U_P934,F_0131,3,,7606813,1563301,6043512,0,0,0,0,0,7606813,,
2018,16,Aviation,Redbird Aip Fy1984-85,U_8711,F_0131,3,,5134644,5025750,108894,0,0,0,0,0,5134644,,
2018,16,Aviation,Pavement Condition Analys 013B,U_Q304,F_013B,Citywide,,512717,512717,0,0,0,0,0,0,512717,,
2018,25,City Facilities,Police Design Academy Building Phase I-,U_R961,F_5R44,Citywide,,72916,3344,69572,0,0,0,0,0,72916,,
2018,25,City Facilities,Central Operations Service Building Center - Streets,U_VH03,F_1V60,2,,0,0,0,125000,0,0,0,0,125000,2019,2019
2018,25,City Facilities,Central Building Service Center- Sanitation,U_VH04,F_1V60,2,,0,0,0,150000,0,0,0,0,150000,2019,2019
2018,25,City Facilities,City Marshal's Office,U_VH02,F_1V60,2,,0,0,0,165000,0,0,0,0,165000,2019,2019
2018,25,City Facilities,Fire Station Improvements #05 - Window,U_T851,F_2T33,5,,60000,49701,10299,0,0,0,0,0,60000,,
