cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2022,year_2023,project_total,future_cost,start_year,end_year
2021,29,City Facilities,Future Fire Station Jim Miller - Loop 12,VG31,Fire Facilities Protection,2017 Bonds,8,09/2021,6615217,5920609,694608,0,0,6615217,0,,
2021,29,City Facilities,Future Fire Station Jim Miller and Loop,W627,Fire Facilities Protection,2006 Bonds,8,09/2021,500000,500000,0,0,0,500000,0,,
2021,29,City Facilities,Garage at Central Service Center,VH08,City Court and Facilities Municipal,2017 Bonds,2,09/2021,75000,6039,68961,0,0,75000,0,,
2021,29,City Facilities,General Capital Reserve,,Major Maintenance,Other GO Non-Debt CIP -,Citywide,Ongoing,14425249,9425249,5000000,3000000,3500000,20925249,0,2022,2023
2021,29,City Facilities,General Fleet,E381,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,09/2022,5637646,5536557,101089,0,0,5637646,0,,
2021,29,City Facilities,Homeless Assistance Facilites,VJ01,Homeless Services Housing,2017 Bonds,Citywide,09/2023,7787572,40300,7747272,2989185,3021630,13798387,0,2022,2023
2021,29,City Facilities,IT Network Equipment 1/5 Annual Replacement,E402,Technology,Other Debt GO CIP -,Citywide,Ongoing,915610,604865,310745,0,0,915610,0,,
2021,29,City Facilities,IT Network Equipment 1/5 Annual Replacement,E411,Technology,Other Debt GO CIP -,Citywide,Ongoing,4200000,1777285,2422715,0,0,4200000,0,,
2021,29,City Facilities,IT Network Equipment 1/5 Annual Replacement,E418,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,2100000,2100000,4200000,0,2022,2023
2021,29,City Facilities,IT Security Equipment 1/5 Annual Replacement,E420,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,440000,440000,880000,0,2022,2023
2021,30,City Facilities,Jack Evans DPD Headquarters - Physical Security Enhancements,W049,City Court and Facilities Municipal,2006 Bonds / 2017 Bonds,Citywide,07/2021,141706,141706,0,0,0,141706,0,,
2021,30,City Facilities,Jack Evans Headquarters,VG35,City Court and Facilities Municipal,2017 Bonds,2,07/2021,1250000,1166718,83282,0,0,1250000,0,,
2021,30,City Facilities,Laptop/Desktop 1/5 Annual Replacement,E415,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,2156400,2156400,4312800,0,2022,2023
2021,30,City Facilities,Latino Cultural Center - Phase II - Des,T697,Cultural Facilities,2006 Bonds,Citywide,09/2023,881918,488404,393514,0,0,881918,0,,
2021,30,City Facilities,Latino Cultural Center - Phase II - Prio,T698,Cultural Facilities,2006 Bonds,Citywide,08/2021,2813041,2809843,3198,0,0,2813041,0,,
2021,30,City Facilities,Major Maintenance and Repairs FY20,W504,Major Maintenance,Other GO Non-Debt CIP -,Citywide,09/2024,6500000,6352266,147734,0,0,6500000,0,,
2021,30,City Facilities,Major Maintenance and Repairs FY21,W620,Major Maintenance,Other GO Non-Debt CIP -,Citywide,Ongoing,5640467,5583962,56505,0,0,5640467,0,,
2021,30,City Facilities,Major Maintenance and Repairs FY22 - BSD,W680,Major Maintenance,Other GO Non-Debt CIP -,Citywide,Ongoing,0,0,0,8500000,9000000,17500000,38000000,2022,2023
2021,30,City Facilities,Major Maintenance and Repairs Meyerson,W506,Major Maintenance,Other GO Non-Debt CIP -,Citywide,09/2024,1000000,981335,18665,0,0,1000000,0,,
2021,31,City Facilities,Major Maintenance Projects-Arts and Cultural Facilities,W130,Cultural Facilities,Other GO Non-Debt CIP -,Citywide,09/2026,2400000,2180139,219861,0,0,2400000,0,,
2021,31,City Facilities,Meyerson,VF05,Cultural Facilities,2017 Bonds,14,08/2021,3800000,3579821,220179,0,0,3800000,0,,
2021,31,City Facilities,Meyerson Maintenance Support,W629,Cultural Facilities,Other GO Non-Debt CIP -,14,09/2024,2873600,2486082,387518,667669,0,3541269,0,2022,2022
2021,31,City Facilities,Meyerson Sypmphony Center Reverberation,W267,Cultural Facilities,2006 Bonds,14,08/2021,73995,73995,0,0,0,73995,0,,
2021,31,City Facilities,Miramar Hotel- 1950 Fort Worth Ave,VJ08,Homeless Services Housing,2017 Bonds,1,09/2023,2348033,2760,2345273,0,0,2348033,0,,
2021,31,City Facilities,NE Patrol Station,VG37,City Court and Facilities Municipal,2017 Bonds,10,05/2022,1075000,471038,603962,0,0,1075000,0,,
2021,31,City Facilities,Non-City Owned Cultural Facility Repair,W149,Cultural Facilities,Other GO Non-Debt CIP -,Citywide,09/2023,600000,216158,383842,0,0,600000,0,,
2021,31,City Facilities,Oak Cliff Municipal Center,VH10,City Court and Facilities Municipal,2017 Bonds,1,10/2022,535132,2401,532731,600000,864868,2000000,0,2022,2023
2021,31,City Facilities,P25 Radio Project,P776,Technology,Capital Reimbursement Projects,Citywide,12/2022,924360,848707,75653,0,0,924360,0,,
2021,31,City Facilities,Police Academy Building - Phase I- Design,R961,Police Facilities,2003 Bonds,Citywide,09/2022,72916,3344,69572,0,0,72916,0,,
2021,31,City Facilities,Police DVR Replacements Phase 1 of 4,E391,Technology,Other Debt GO CIP -,Citywide,Ongoing,1350000,124549,1225451,0,0,1350000,0,,
2021,31,City Facilities,Priority Major Maintenance,P717,Major Maintenance,Other GO Non-Debt CIP -,Citywide,09/2024,9242331,8183598,1058733,0,0,9242331,0,,
2021,32,City Facilities,Public Art Administration - Court Facilities,PA55,Public Art,2006 Bonds,Citywide,09/2022,3039,0,3039,0,0,3039,0,,
2021,32,City Facilities,Public Art Administration - Farmers Market,PA53,Public Art,2006 Bonds,Citywide,09/2022,2158,0,2158,0,0,2158,0,,
2021,32,City Facilities,Public Art Administration,N928,Public Art,1998 Bonds,Citywide,09/2021,15630,0,15630,0,0,15630,0,,
2021,32,City Facilities,Public Art Administration- Library Facilities,PA45,Public Art,2006 Bonds,Citywide,09/2021,136,0,136,0,0,136,0,,
2021,32,City Facilities,Public Art Program,N819,Public Art,1998 Bonds,Citywide,09/2021,540684,511649,29035,0,0,540684,0,,
2021,32,City Facilities,Public Art Projects - Library Facilities,PA02,Public Art,2003 Bonds,Citywide,09/2021,48500,0,48500,0,0,48500,0,,
2021,32,City Facilities,Public Art Projects,N927,Public Art,1998 Bonds,Citywide,09/2021,62520,11364,51156,0,0,62520,0,,
2021,32,City Facilities,Public Art Projects - Public Safety Facilities,PA42,Public Art,2006 Bonds / 2017 Bonds,Citywide,09/2022,3837,0,3837,0,0,3837,0,,
2021,32,City Facilities,Public Art Projects- Court Facilities,PA54,Public Art,2006 Bonds,Citywide,09/2022,12156,0,12156,0,0,12156,0,,
2021,32,City Facilities,Public Arts Administration,PA61,Public Art,2017 Bonds,Citywide,09/2021,37155,27877,9278,0,0,37155,0,,
2021,32,City Facilities,Public Arts Administration- City Facilities,PA51,Public Art,2006 Bonds,Citywide,09/2022,18994,0,18994,0,0,18994,0,,
2021,33,City Facilities,Public Arts Administration- Public Safety,PA63,Public Art,2017 Bonds,Citywide,09/2021,47955,13773,34182,0,0,47955,0,,
2021,33,City Facilities,Public Arts Projects- City Facilities,PA50,Public Art,2006 Bonds,Citywide,09/2022,75974,0,75974,0,0,75974,0,,
2021,33,City Facilities,Public Arts Projects- Farmers Market,PA52,Public Art,2006 Bonds,Citywide,09/2022,8631,0,8631,0,0,8631,0,,
2021,33,City Facilities,Public Arts Projects- Library Facilities,PA44,Public Art,2006 Bonds,Citywide,09/2021,17611,0,17611,0,0,17611,0,,
2021,33,City Facilities,Public Arts Projects- Public Safety,PA62,Public Art,2017 Bonds,Citywide,09/2021,191820,118000,73820,0,0,191820,0,,
2021,33,City Facilities,Public Safety MDC 1/5 Annual Replacement,E412,Technology,Other Debt GO CIP -,Citywide,Ongoing,500000,0,500000,0,0,500000,0,,
2021,33,City Facilities,Public Safety MDC 1/5 Annual Replacement,E419,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,1000000,1000000,2000000,0,2022,2023
2021,33,City Facilities,Reserve Bond Projects,RV42,City Court and Facilities Municipal,2006 Bonds / 2003 Bonds,Citywide,09/2023,197557,0,197557,0,0,197557,0,,
2021,33,City Facilities,Reserve Bond Projects,RV49,Cultural Facilities,2006 Bonds,Citywide,09/2023,80385,0,80385,0,0,80385,0,,
2021,33,City Facilities,Reserved 2017 Bond Projects- City Facilities - BSD,VH16,City Court and Facilities Municipal,2017 Bonds,Citywide,09/2023,267188,0,267188,0,0,267188,0,,
2021,33,City Facilities,Reserved 2017 Bond Projects- Cultural Af,VF10,Cultural Facilities,2017 Bonds,Citywide,09/2023,1243,0,1243,0,0,1243,0,,
2021,"33, 34",City Facilities,Reserved Bond Projects,RV33,Fire Facilities Protection,2006 Bonds / 2003 Bonds,Citywide,09/2023,260619,0,260619,0,0,260619,0,,
2021,34,City Facilities,Reserved Bond Projects,RV60,City Court and Facilities Municipal,2006 Bonds,Citywide,09/2023,778361,0,778361,0,0,778361,0,,
2021,34,City Facilities,Solar Installation,W799,Major Maintenance,Other GO Non-Debt CIP -,Citywide,Ongoing,0,0,0,500000,500000,1000000,0,2022,2023
2021,34,City Facilities,South Dallas Cultural Center,VF09,Cultural Facilities,2017 Bonds,7,10/2022,49278,0,49278,131484,132912,313674,0,2022,2023
2021,34,City Facilities,Southeast Service Center - Construction,T743,City Court and Facilities Municipal,2006 Bonds / 2017 Bonds,Citywide,09/2022,7633293,420394,7212899,0,0,7633293,0,,
2021,34,City Facilities,Southwest Transfer Station [24410],VH11,City Court and Facilities Municipal,2017 Bonds,3,09/2021,205000,151982,53018,0,0,205000,0,,
2021,34,City Facilities,Space Planning- Major Maintenance and Repairs,W664,Major Maintenance,Other GO Non-Debt CIP -,Citywide,Ongoing,500000,34201,465799,0,0,500000,0,,
2021,34,City Facilities,Storage Facility,VH01,City Court and Facilities Municipal,2017 Bonds,10,09/2021,325000,0,325000,0,0,325000,0,,
2021,34,City Facilities,SW Patrol Station,VG42,City Court and Facilities Municipal,2017 Bonds,3,10/2022,3248,3248,0,0,2183646,2186894,0,2023,2023
2021,34,City Facilities,Technology Infrastructure Redesign,E421,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,975000,975000,1950000,0,2022,2023
2021,34,City Facilities,The St. Jude Center - Park Central Project,VJ12,Homeless Services Housing,2017 Bonds,11,09/2023,3300000,3300000,0,0,0,3300000,0,,
