cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Major Maintenance - City Facilities,42,City Facilities,Southeast Service Center,2010,2010,0,9905032,0,0,1485755,8419277
2007,Major Maintenance - Public Safety,43,City Facilities,Southwest Police,,,744919,744919,0,0,0,0
2007,Major Maintenance - City Facilities,43,City Facilities,Southwest Sanitation,2010,2010,0,80000,0,0,80000,0
2007,Major Maintenance - City Facilities,43,City Facilities,Southwest Service Center - Fleet Maintenance,2010,2010,0,365880,0,0,365880,0
2007,Major Maintenance - City Facilities,43,City Facilities,Southwest Transfer Station,2008,2008,0,58865,58865,0,0,0
2007,Library Facilities,43,City Facilities,Timberglen Branch Library,,,250000,250000,0,0,0,0
2007,Library Facilities,43,City Facilities,Timberglen Branch Library (New),,,6065873,6065873,0,0,0,0
2007,Major Maintenance - City Facilities,43,City Facilities,Traffic Control Office,,,25000,25000,0,0,0,0
2007,Professional Services and Debt Issuance,43,City Facilities,Transfer to Debt Service Fund,2008,2008,0,2700000,2700000,0,0,0
2007,Professional Services and Debt Issuance,43,City Facilities,TXU Reserve Interest transfer to General Fund,2008,2008,0,550000,550000,0,0,0
2007,Library Facilities,43,City Facilities,Vickery Meadow Branch Library,2008,2008,0,5615720,5615720,0,0,0
2007,Major Maintenance - Library,44,City Facilities,Walnut Hill Branch Library,,,7752740,7987740,0,0,0,235000
2007,Major Maintenance - City Facilities,44,City Facilities,West Dallas Multi-Purpose,2009,2009,0,274701,0,274701,0,0
2007,Major Maintenance - City Facilities,44,City Facilities,West Dallas Multipurpose Center,,,176594,176594,0,0,0,0
2007,Library Facilities,44,City Facilities,White Rock Branch Library,2009,2009,896523,7987803,0,7091280,0,0
2007,Library Facilities,44,City Facilities,White Rock Branch Library Land Acquisition,,,600000,600000,0,0,0,0
2007,Farmers Market Improvements,48,Convention And Event Services Facilities Improvements,Farmers Market Improvements,2008,2010,93373,6658207,2984725,0,3580109,0
2007,Farmers Market Improvements,48,Convention And Event Services Facilities Improvements,Farmers Market Shed No. 2,,,3154400,3154400,0,0,0,0
2007,Farmers Market Improvements,48,Convention And Event Services Facilities Improvements,Farmers Market Shed No. 3,,,300000,300000,0,0,0,0
2007,Convention Center Improvements,48,Convention And Event Services Facilities Improvements,Mechanical Electrical Plumbing (MEP) Project,,,3350127,3350127,0,0,0,0
2007,Convention Center Improvements,48,Convention And Event Services Facilities Improvements,Parking Lot Landscaping,,,30000,30000,0,0,0,0
2007,Convention Center Improvements,48,Convention And Event Services Facilities Improvements,Retrofit and Equipment,,,15594258,15594258,0,0,0,0
2007,Reunion Arena Renovations,48,Convention And Event Services Facilities Improvements,Reunion Arena Capital Improvements,,,955555,955555,0,0,0,0
2007,Union Station Renovations,48,Convention And Event Services Facilities Improvements,Union Station Renovation,,,3000000,3000000,0,0,0,0
2007,Major Maintenance - Cultural Facilities,54,Cultural Facilities,African American Museum,2008,2008,400000,1980000,1580000,0,0,0
