cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2020,year_2021,year_2022,project_total,start_year,end_year
2019,155,Street & Transportation,Tree Shadow Trl [5902- 5942] And Flintshire Ct [5901-5923] A1,S307,Alley Reconstruction,2012 General Obligation Bond Program,12,4/9/20,245340,39089,206250,0,0,0,245340,,
2019,155,Street & Transportation,Trio Ln from Wagon Wheels Trl to Caravan Trl,V448,Street Resurfacing,2017 General Obligation Bond Program,3,9/30/19,137775,137775,0,0,0,0,137775,,
2019,155,Street & Transportation,Trojan St. - Burma Rd. To Fellows Ln. [Street],V185,Street Petitions,2017 General Obligation Bond Program,7,8/7/22,75470,72259,3211,1014531,0,0,1090001,2020,2020
2019,155,Street & Transportation,Tulip Ln from Camellia Dr to Thackery St,V573,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/20,0,0,0,422850,0,0,422850,2020,2020
2019,156,Street & Transportation,Turtle Creek Blvd from Turtle Creek Blvd to Turtle Creek Blvd,V848,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/19,210739,210739,0,0,0,0,210739,,
2019,156,Street & Transportation,Tuscany Way from Sinclair Ave to Lippitt Ave,V818,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,673813,673813,2022,2022
2019,156,Street & Transportation,Tyler From Illinois Ave To Lebanon [East Side Only],V152,Sidewalk Improvements,2017 General Obligation Bond Program,1,10/28/23,362000,362000,0,0,0,0,362000,,
2019,156,Street & Transportation,Upton St From I-35 E To 12Th St,V995,Target Neighborhood,2017 General Obligation Bond Program,4,6/19/22,56361,43660,12701,0,510547,0,566908,2021,2021
2019,156,Street & Transportation,Us 75-Mockingbird- Lovers Lane Pedestrian Improvements,V144,Intergovernmental Partnership Projects,2017 General Obligation Bond Program,14,7/7/23,0,0,0,70474,1029526,0,1100000,2020,2021
2019,156,Street & Transportation,UT Southwestern Medical District,V140,Intergovernmental Partnership Projects,2017 General Obligation Bond Program,2,9/30/22,0,0,0,0,7500000,0,7500000,2021,2021
2019,156,Street & Transportation,Utica Dr from Bruton Rd to Cordell Dr,V565,Street Resurfacing,2017 General Obligation Bond Program,5,9/30/19,153400,153400,0,0,0,0,153400,,
2019,156,Street & Transportation,Utica Dr from Cordell Dr to Jennie Lee Ln,V353,Street Resurfacing,2017 General Obligation Bond Program,5,9/30/18,142722,0,142722,0,0,0,142722,,
2019,156,Street & Transportation,Valencia St from Sevilla St to East Grand Ave,V709,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/21,0,0,0,0,82000,0,82000,2021,2021
2019,156,Street & Transportation,Valey View-Walnut-635 Cty,N083,Intergovernmental Partnership Projects,1998 General Obligation Bond Program / 2006 General Obligation Bond Program,"10, 11",5/1/20,224672,6955,217717,0,0,0,224672,,
2019,156,Street & Transportation,Valley View Ln from Valley View Ln to L B J Serv,V639,Street Resurfacing,2017 General Obligation Bond Program,11,9/30/20,0,0,0,62975,0,0,62975,2020,2020
2019,156,Street & Transportation,Valley View-Walnut - IH 635 to City Limits,U234,Intergovernmental Partnership Projects,2006 General Obligation Bond Program / State Grant,"10, 11",7/8/20,2021878,576458,1445420,0,0,0,2021878,,
2019,156,Street & Transportation,Vandelia St from Prescott Ave to Hawthorne Ave,V601,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/20,0,0,0,59825,0,0,59825,2020,2020
2019,156,Street & Transportation,Vanette Ln From Fitzsimmons Dr To S Marsalis Ave,V253,Street Reconstruction,2017 General Obligation Bond Program,4,7/17/22,56112,45468,10645,0,505005,0,561117,2021,2021
