cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2022,2023,2024
2022,Target Neighborhood,191,2017 Bonds,Yancy S from Carbondale St to Saipan St - S610,S610.2,2022,2022,1027548,1068044,40496,0,0
2022,Street Resurfacing,191,2017 Bonds,Yorksprings Dr from Meadowspring Ln to Yorksprings Pl - V695,V695.1,2022,2022,127308,127311,3,0,0
2022,Street Resurfacing,191,2017 Bonds,Yorksprings Dr from Valley Spring Dr to Meadowspring Ln - V717,V717.1,2022,2022,208493,208496,3,0,0
2022,Relocations in Advance of Paving,198,Sewer Capital Program,86-87 Ws Rev Bond Complete - 8670,8670.1,2022,2022,0,7144857,7144857,0,0
2022,"Service Centers, Offices, and Research Facilities",198,Sewer Capital Program,Administrative Order - CS96,CS96.1,2022,2022,29035933,29038136,2203,0,0
2022,"Service Centers, Offices, and Research Facilities",198,Sewer Capital Program,Adminstrative Order - PS96,PS96.1,,,10760074,10760074,0,0,0
2022,"Service Centers, Offices, and Research Facilities",198,Water Capital Program,AMR - P291,P291.1,2022,2022,3815232,5000000,1184768,0,0
2022,Water Treatment Plants and Associated Facilities,198,Water Capital Program,Bachman Water Tr Pl - Facs - CW30,CW30.1,2022,2022,36278424,37103503,825079,0,0
2022,Water Treatment Plants and Associated Facilities,198,Water Capital Program,Bachman Water Tr Pl - Facs - PW30,PW30.1,2022,2022,63395470,62717652,(677818),0,0
2022,Water Treatment Plants and Associated Facilities,199,Water Capital Program,Bachman Water Tr Pl - Facs - PW30,PW30.2,2022,2022,52798547,59630753,6832206,0,0
2022,Water Treatment Plants and Associated Facilities,199,Water Capital Program,Bachman Water Tr Pl - Facs - PW30,PW30.3,2022,2022,47329491,62600000,14270509,0,0
2022,Wastewater Treatment Plants and Associated Facilities,199,Sewer Capital Program,Central Wastewater Treat - BS30,BS30.1,2022,2022,0,595000,595000,0,0
2022,Wastewater Treatment Plants and Associated Facilities,199,Sewer Capital Program,Central Ww Treat Pl - Faci - PS30,PS30.1,2022,2024,24670089,136735870,(6434219),"35,000,000","12,500,000"
2022,Wastewater Treatment Plants and Associated Facilities,199,Sewer Capital Program,Central Ww Treat Pl - Faci - PS30,PS30.2,2022,2022,238782887,304908053,66125167,0,0
2022,Wastewater Treatment Plants and Associated Facilities,199,Sewer Capital Program,Central Ww Treat Pl - Faci - PS30,PS30.3,2022,2022,585524,609607,24083,0,0
2022,Wastewater Treatment Plants and Associated Facilities,199,Sewer Capital Program,Central Ww Treat Pl - Faci - PS30,PS30.4,2022,2022,146245909,147021537,775628,0,0
2022,Wastewater Treatment Plants and Associated Facilities,200,Sewer Capital Program,Central Ww Treat Pl & Facs - 8243,8243.1,2022,2022,0,47651991,47651991,0,0
2022,Wastewater Treatment Plants and Associated Facilities,200,Sewer Capital Program,Central Ww Treat Pl- Facs - CS30,CS30.1,2022,2022,61452099,63422504,1970405,0,0
2022,Water Supply Reservoirs and Dams,200,Water Capital Program,East Side Water Tr Pl - Fa - PW32,PW32.1,,,12804000,12804000,0,0,0
2022,Water Treatment Plants and Associated Facilities,200,Water Capital Program,East Side Water Tr Pl - Fa - PW32,PW32.2,2022,2022,184558167,186157494,1599327,0,0
2022,Water Treatment Plants and Associated Facilities,200,Water Capital Program,East Side Water Tr Pl - Fa - PW32,PW32.3,2022,2022,103439420,95555543,(12883877),0,0
2022,Water Treatment Plants and Associated Facilities,200,Water Capital Program,East Side Water Tr Pl - Fa - PW32,PW32.4,2022,2022,166627722,257603642,90975920,0,0
