cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2018,year_2019,year_2020,year_2021,year_2022
2017,Bldg - Pub Safety - Fire Fac / Struct,146,Fire-Rescue,Fire Station No. 54 - Paradise Hills,S00785,,,Council District: 4; Community Plan: Skyline - Paradise Hills,83653,13299999,"This project provides for the design and construction of a new12,500 square",This station is needed to serve the Paradise Hills/Skyline community and will,13216346,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,147,Fire-Rescue,Fire-Rescue Air Operations Facility,S15012,,,Council District: 6; Community Plan: Tierrasanta,1898080,12749999,The project is separated into two phases. Phase I of this project provides for the,Air Ops personnel is currently operating from mobile trailers with no hangar be completed in Fiscal Year 2020. space for the department's two helicopters. The proposed reconstructed facility will include,10851919,0,0,0,0,0
2017,,148,Fire-Rescue,Fairmount Avenue Fire Station / S14018  Bldg - Pub Safety - Fire Fac / Struct,S14018,,,Council District: 4; Community Plan: Mid-City: City Heights,1999999,15999999,This project provides for the design and construction of a new permanent fire,This project will provide for the much needed Fire Station to meet emergency completed in Fiscal Year 2019. Funding for construction is currently not identified. response times for the community.,14000000,0,0,0,0,0
2017,Bldg - Pub Safety - Lifeguard Stations,149,Fire-Rescue,La Jolla Cove Lifeguard Station,S00792,,,Council District: 1; Community Plan: La Jolla,1784845,1784845,"This project provides for the La Jolla Cove Lifeguard Station, located at 1160","The existing facility consists of a station constructed in the 1950s and an Fiscal Year 2018. observation tower added in 1980, which is inadequate to accommodate staff or provide",0,0,0,0,0,0
2017,Bldg - Pub Safety - Lifeguard Stations,150,Fire-Rescue,North Pacific Beach Lifeguard Station,S10119,,,Council District: 2; Community Plan: Pacific Beach,937902,7257869,This project provides for the North Pacific Beach Lifeguard Station located at,North Pacific Beach has become a highly frequented beach over the years and Beach Community Plan and is in conformance with the City's General Plan. new facilities will benefit both the public and the employees. Lifeguards are currently,6319967,0,0,0,0,0
2017,Bldg - Pub Safety - Lifeguard Stations,151,Fire-Rescue,South Mission Beach Lifeguard Station,S00791,,,Council District: 2; Community Plan: Mission Beach,4982125,4982125,The project provides for a replacement for the South Mission Beach Station,The existing facility was constructed in 1974 and was intended to be a,0,0,0,0,0,0
2017,Bldg - Libraries,161,Library,Mission Hills-Hillcrest Library,S13022,2018,2018,Council District: 3; Community Plan: Uptown,19247522,21132004,"This project provides for a 15,000 square-foot library at a site adjacent to the","The existing facility has no meeting room, computer lab, nor adequate seating",0,1884482,0,0,0,0
2017,Bldg - Libraries,162,Library,Pacific Highlands Ranch Branch Library,S14023,2018,2020,Council District: 1; Community Plan: Priority Category:       Low,4665999,19270336,"This project provides for a new 18,000 square foot branch library facility on a",This project will provide branch library service to the NCFUA for future,0,7012337,0,7592000,0,0
2017,Bldg - Libraries,163,Library,San Carlos Branch Library,S00800,,,Council District: 7; Community Plan: Navajo,2995799,20598000,This project provides for the acquisition of a lot adjoining the existing branch,"The existing library does not have a computer lab, meeting room, nor",17602201,0,0,0,0,0
2017,Bldg - Libraries,164,Library,San Diego New Central Library,S00799,,,Council District: 3; Community Plan: Centre City,187637422,187637422,This project provides for the design and construction of a new Central Library of,"The existing library was too small to provide adequate library and informational approximately 500,000 square feet, with approximately 250 underground parking spaces services to the library system and the region, and could not support the technological and dedicated to library patrons. It is large enough to accommodate library needs for 20 years programmatic needs of the future. and contain expansion space to accommodate growth for an additional 30 years. The",0,0,0,0,0,0
2017,Bldg - Libraries,165,Library,San Ysidro Branch Library,S00802,2018,2019,Council District: 8; Community Plan: San Ysidro,11326999,13536999,"This project provides for a 15,000 square-foot facility to serve the San Ysidro","The existing 4,089 square foot library was built in 1924 and was remodeled in Year 2016 and was completed in Fiscal Year 2017. Construction is",0,1460000,750000,0,0,0
2017,Bldg - Libraries,166,Library,Scripps Miramar Ranch Library,S00811,,,Council District: 5; Community Plan: Scripps Miramar Ranch,1675599,4999999,This project provides for an expansion of the Scripps Ranch Branch Library,The current facility is fully occupied and the current parking lot does not have cost estimate and requirements. This project received $1.64 million in Fiscal year 2017. The the capacity to serve the needs of the community. project,3324400,0,0,0,0,0
2017,Bldg - Libraries,167,Library,Skyline Hills Library,S00692,,,Council District: 4; Community Plan: Skyline - Paradise Hills,13934251,13934251,"This project provides for a new 15,000 square-foot library adjacent to the",The existing library was built in 1969 and is too small to provide adequate,0,0,0,0,0,0
2017,,168,Library,Tierrasanta Library Expansion / S15011  Bldg - Libraries,S15011,,,Council District: 7; Community Plan: Tierrasanta,1258999,1258999,This project will enclose two areas under the existing roof area (approximately,"This project library expansion will meet the immediate needs of the community. 520 sq. ft each) and provide an outdoor reading patio under the third roof area, an expansion",0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,185,Park & Recreation,Angier Elementary School Joint Use,S00762,,,Council District: 7; Community Plan: Serra Mesa,2671574,2671574,This project provides for the design and construction of 3.95 acres at Angier,This project will contribute to satisfying the population-based park acreage Mesa Community Plan and is in conformance with the City's General Plan. requirements set forth in the City's General Plan in an area that is park deficient. The project,0,0,0,0,0,0
2017,Parks - Neighborhood,186,Park & Recreation,Aquatic Complex - Mira Mesa CP Expansion,S00667,,,Council District: 6; Community Plan: Mira Mesa,16838874,16838874,"This project provides for Phase I, developing approximately 11 usable acres of",This project will contribute to satisfying the population-based park acreage III will be completed under L16002 Mira Mesa Community Park Improvements. requirements set forth in the City's General Plan.,0,0,0,0,0,0
2017,Golf Courses,187,Park & Recreation,Balboa Park Golf Course,AEA00002,,,Council District: 3; Community Plan: Balboa Park,1044503,1044503,This annual allocation provides for unexpected replacement of minor capital,This annual allocation will provide for a capital assets cost-avoidance program needed basis. allowing for timely replacement of unanticipated failure of golf capital assets.,0,0,0,0,0,0
2017,,188,Park & Recreation,Balboa Park Plaza de Panama Project / L17002  Parks - Developed Regional Park,L17002,2018,2018,Council District: 3; Community Plan: Balboa Park,9999999,78999999,"This project provides for the construction of pedestrian plazas, water features,",The underlying purpose of the project is to restore pedestrian and park uses to of 26 months. the Central Mesa and alleviate pedestrian/vehicular conflicts (defined as vehicles and,0,69000000,0,0,0,0
2017,-  Other City Facility / Structures,189,Park & Recreation,Balboa Park West Mesa Comfort Station Replacement,S15036,2018,2018,Council District: 3; Community Plan: Balboa Park,1492573,1692573,This project provides for the design and construction of two replacement,"The improvements will bring the park into compliance with the Americans with Year 2019. Disabilities Act (ADA), federal and State accessibility requirements and thus making park",0,200000,0,0,0,0
2017,Bldg - Parks - Recreation/Pool Centers,190,Park & Recreation,Balboa Pk Bud Kearns Aquatic Complex Imp,S17000,2019,2019,Council District: 3; Community Plan: Balboa Park,499999,1479999,This project provides for the design and construction of various improvements,The improvements are necessary to bring the aquatic complex into full Fiscal Year 2021. compliance with the San Diego County Department of Environmental Health requirements.,280000,0,700000,0,0,0
2017,Parks - Community,191,Park & Recreation,Bay Terrace Senior Center,S16060,2018,2018,Council District: 4; Community Plan: Skyline - Paradise Hills,499999,3599999,This project provides for the design and construction of a senior center within,The improvements are necessary to meet the needs of the community. funding was added to the project total cost due to revised requirements. This project was,2600000,500000,0,0,0,0
